,incl [deg],c,b,R^2
523,53.3,435.7553899,-0.825188877,0.991595427
524,53.4,434.8148054,-0.824963728,0.991233593
525,53.5,430.9616763,-0.824032475,0.991236924
526,53.6,433.3030289,-0.824930702,0.990897029
527,53.7,432.3900384,-0.824664446,0.990638854
528,53.8,430.5324234,-0.824242143,0.99011522
529,53.9,429.7708583,-0.824083735,0.989464226
530,54,430.2295481,-0.824390322,0.989235824
531,54.1,426.3244429,-0.823250403,0.988667617
532,54.2,428.1111439,-0.823811164,0.988732873
533,54.3,438.2290012,-0.826888275,0.988994966
534,54.4,433.8507482,-0.825544332,0.988438929
535,54.5,441.3482782,-0.827725046,0.988859507
536,54.6,433.7406332,-0.825429683,0.988330799
537,54.7,443.5259234,-0.828410014,0.988379421
538,54.8,446.1200882,-0.829135194,0.988561837
539,54.9,450.5363077,-0.830421094,0.988473001
540,55,450.0821115,-0.830268376,0.988393724
541,55.1,451.6108733,-0.830728736,0.989038823
542,55.2,452.6628941,-0.831030243,0.989692935
543,55.3,446.1552803,-0.829214898,0.989933181
544,55.4,442.818315,-0.828432839,0.990222652
545,55.5,444.8548979,-0.829173051,0.990352604
546,55.6,440.1881325,-0.827704951,0.990662182
547,55.7,443.563696,-0.829062419,0.991007428
548,55.8,439.9082249,-0.828218196,0.991084236
549,55.9,437.4147513,-0.827572893,0.991366042
550,56,431.8141223,-0.825815943,0.991325268
551,56.1,428.4802311,-0.825278835,0.991151397
552,56.2,426.9349761,-0.824918614,0.990803866
553,56.3,420.9171064,-0.823322109,0.9906896
554,56.4,423.688449,-0.824298309,0.990837294
555,56.5,420.6312506,-0.823496219,0.99049093
556,56.6,419.2541401,-0.823168384,0.990106235
557,56.7,419.5628158,-0.823463895,0.989750144
558,56.8,416.792387,-0.822718951,0.989363095
559,56.9,413.3018409,-0.821749592,0.988833509
560,57,411.4527911,-0.821221245,0.988389339
561,57.1,413.9466374,-0.822350126,0.98833505
562,57.2,413.5957261,-0.822003392,0.988410935
